"subject","activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()","fBodyBodyGyroJerkMag-meanFreq()"
"1",1,"WALKING_DOWNSTAIRS",0.277188302464286,-0.0199669997428571,-0.118036383571429,-0.0173431721464286,0.173544332882143,-0.0172252958928571,0.857901884285714,-0.316537807142857,-0.152423721421429,-0.948467106428571,-0.943902708928571,-0.928914841071429,0.123370202206071,-0.00352296558214286,-0.0472067474964286,0.0653625020785714,0.00901075115,-0.315887695,-0.115765345857143,-0.0165273808928571,0.123922465739286,-0.366823984392857,-0.4689862,-0.308986801071429,-0.0660230826785714,-0.0375236736785714,-0.084057158925,-0.384495182857143,-0.582042456428571,-0.317726183214286,0.0411330305857143,0.178282559278571,0.0411330305857143,0.178282559278571,-0.0525551148571429,0.138804942107143,-0.209565294204643,-0.383674280714286,-0.50256437,-0.498472991071429,0.0390477525821429,0.180428443142857,-0.0785790883571429,-0.041683674,0.0938101077857143,-0.0641621779107143,-0.285883865857143,-0.0294736116071429,0.0428985834678571,0.063479446575,-0.0173354366142857,-0.236333066535714,-0.0327036966178571,-0.0334914868928571,-0.395739206071429,-0.136478592392857,-0.370323712178571,-0.226953608607143,-0.246613181857143,-0.4456185225,-0.160873935960714,-0.408151755142857,-0.4897656175,-0.429729535,-0.0896295008928571,-0.0415344141785714,0.0534207742071429,0.236061249635714,-0.0398679334285714,0.0398094618285714,0.118794781392857,0.153436974567857,0.00212550723571429,-0.452295292857143,-0.447188595714286,0.0359022180428571,-0.517768685357143,-0.50906788,-0.0119786390357143
"2",1,"WALKING_UPSTAIRS",0.268971641172414,-0.0261503039653292,-0.122440826705016,-0.268122699214734,-0.122437411597806,-0.174182797787524,0.910544641159875,-0.247589724545455,-0.0776160203675925,-0.954278527617555,-0.93026623369906,-0.8931355369279,0.076294908222069,0.00257125815,-0.00315557226909091,-0.410968050731034,-0.461657739141066,-0.700566496739812,-0.0208282473009404,-0.0624865279157994,0.0924593207087774,-0.489512166959248,-0.346548381770219,-0.293681186289969,-0.105368924859248,-0.0378749646576489,-0.0573979500737304,-0.60619287799373,-0.738054153636364,-0.63196300476489,-0.151024600720313,-0.265115364790909,-0.151024600720313,-0.265115364790909,-0.483367342664577,-0.438191106630094,-0.208843248922947,-0.347211740244828,-0.679241275297806,-0.727049102257053,-0.331184870186207,-0.247229792525392,-0.421628543291536,-0.246207692639185,-0.1191509679421,-0.122819211586646,-0.476025594570533,-0.226361286099687,-0.358173693905016,-0.430459643016614,-0.478269986332288,-0.669208337805643,-0.444404226789969,-0.481139519655172,-0.731045990752351,-0.345477596306583,-0.469461119351097,-0.487507506244514,-0.433387794601254,-0.510228806332288,-0.375772972025078,-0.512324152488088,-0.274428115202821,-0.335741767870219,-0.237248239979969,-0.38775664849232,-0.321299466384013,-0.302574708631661,-0.360224361877743,-0.127939814380596,-0.417801273043887,-0.470203495360502,0.0512332855137304,-0.507783363901567,-0.363943075598433,-0.249591519394765,-0.724093518401254,-0.751095714858934,0.0224552925415047
"3",2,"WALKING",0.277542345430464,-0.0169000425297649,-0.108056127016556,-0.299247782575497,-0.094328627852649,-0.351873537673709,0.945794492417219,-0.154833873739735,2.16805900662244e-06,-0.977523906854305,-0.969024269172185,-0.957997330529801,0.0710725359965232,0.0114827195757285,-0.000666695664569537,-0.18911631090596,-0.104967869042815,-0.532080389039735,-0.0479933070783775,-0.0617384726903742,0.0925349196527152,-0.504258979602649,-0.45311445092053,-0.392446368668874,-0.0943307132539735,-0.0450177673046358,-0.0545502063394371,-0.428206146788079,-0.577454856993378,-0.473535660430464,-0.190081119960417,-0.357274366333113,-0.190081119960417,-0.357274366333113,-0.225649319278838,-0.166307732880795,-0.347687741468874,-0.46701458818543,-0.517524681192053,-0.553170045807947,-0.267515654779801,-0.085393937430596,-0.410625969235099,-0.313837569869868,-0.159051010850033,-0.372579347859205,-0.22482883606457,0.111697797249338,0.0889398319024172,-0.251911603651656,-0.168638867625099,-0.506423787069536,-0.197666353273709,-0.0965911984336424,-0.556532951721854,-0.221555399911656,-0.296681084441424,-0.226178618218874,-0.375651946953642,-0.468753506201987,-0.340137777525497,-0.546165733642384,-0.449946384778146,-0.467347857582781,-0.0681339960029801,-0.0606138780382119,-0.00303987459304636,-0.276934511453642,-0.50864696321192,0.27916709255298,-0.17222286005596,-0.165032730834007,0.095105065222053,-0.480535604692053,-0.553074393774834,0.182680829763146,-0.562398257692053,-0.573260732877483,0.14816907263957
"4",3,"WALKING_DOWNSTAIRS",0.288945886173021,-0.0161820945536466,-0.104667556748387,0.025626379213783,0.0166410388847507,-0.266904582912757,0.93465803111437,-0.166118452547625,-0.0133942322569501,-0.950756198739003,-0.931606261730205,-0.914760406304985,0.0903156630567889,-0.00309436737947214,-0.00563084009032258,-0.0704515682393255,-0.100792658294399,-0.452715694818182,-0.103711818312317,-0.0471045679861877,0.0921177888231378,-0.365775490806452,-0.404329118844575,-0.269649709562053,-0.0669451705768328,-0.0539155184750733,-0.0595837262865103,-0.411025452884164,-0.509971135832845,-0.32557745661261,0.0283449908780059,0.0513686580358944,0.0283449908780059,0.0513686580358944,-0.157869540822258,-0.0448675639241349,-0.17061440121349,-0.293920856186276,-0.455039662806452,-0.462236420465396,-0.0314339915240469,0.017577825668915,-0.290305148561672,0.0445578142348387,-0.0510250827164223,-0.315012960211085,-0.388989650046334,0.0279176457529912,0.0797927500733959,-0.109052217290378,-0.13893888578563,-0.407247563708211,-0.114886672632003,-0.121734188813196,-0.4972398138739,-0.305489044281818,-0.359651848461026,-0.249285920680645,-0.25466310572349,-0.379351168082405,-0.167891302566569,-0.405397320348974,-0.427178976070675,-0.376741136417009,-0.164077443842229,-0.0370387789935484,-0.00112265940252199,0.0781599995252199,-0.130291832231965,0.0306410475997507,-0.0400426712219941,-0.0608541685922581,0.0136991364181906,-0.332078761478592,-0.394437053105572,0.0577588297804897,-0.467910796125806,-0.494977165953372,0.0943474414322581
"5",4,"WALKING",0.275624580283912,-0.0194149722705047,-0.110490420507886,-0.334044285940063,0.0650755180946372,-0.313215981223975,0.931750375268139,-0.257214389511041,-0.0721486108832808,-0.978188489810726,-0.96675778829653,-0.956746921135647,0.0754989401959937,0.014763467318612,0.000650457428391167,-0.242116129015457,-0.0446639003375394,-0.507847464731861,-0.0385546424230915,-0.0693348391161514,0.0889985520905047,-0.480547835640379,-0.269974346258202,-0.370615113899054,-0.0823596235652997,-0.0439813407675079,-0.0573449925229653,-0.336280051769716,-0.443532686652997,-0.444560700755836,-0.175105121780366,-0.31332599855836,-0.175105121780366,-0.31332599855836,-0.226916471615457,-0.19075087600571,-0.258889479201262,-0.345955620463407,-0.411422483488959,-0.448075486653628,-0.298006270597792,0.0205777530858044,-0.36449969037224,-0.350174089564669,0.0198498921891798,-0.340012522602524,-0.257913508384543,0.050055588861388,0.077641629326123,-0.288866556466278,-0.12518113731464,-0.476669312201893,-0.261582923660252,-0.0211749633458675,-0.537680945646688,-0.241376788264038,-0.404308353422713,-0.236366593065647,-0.348458910742587,-0.305623289304006,-0.321556243059621,-0.523535434119874,-0.255948327230915,-0.447215265817035,-0.0238538415688013,-0.0775497563488644,-0.0741705651498738,-0.23807904139653,-0.467839266025237,0.1856617464853,-0.188114160369401,-0.201227579608549,0.0730392707210095,-0.356486018782082,-0.455062558009464,0.238806509994826,-0.457454992752114,-0.476498482647319,0.179181170511798
"6",5,"WALKING_DOWNSTAIRS",0.286785382933775,-0.0150063537793046,-0.106252991339735,0.0944264755621556,0.0374432107304305,-0.241819364253079,0.939427448046358,-0.174428995404305,-0.0709574411264997,-0.954874351754967,-0.937130525331126,-0.920811004337748,0.0870061266403973,0.00413054532619205,-0.00282337117860927,-0.0329624696614238,-0.0480426082728477,-0.390557252125828,-0.091200559838245,-0.048944269113245,0.100848005526358,-0.364357369318543,-0.327657043286755,-0.293270346604636,-0.0703924742749338,-0.0487842230322848,-0.0466465540771523,-0.331001770560596,-0.399114313929801,-0.235973139959934,0.0753236647259272,0.121743408065132,0.0753236647259272,0.121743408065132,-0.106748763537848,0.00636078505794702,-0.154703769434901,-0.241497181075166,-0.357537458086093,-0.363301045051854,0.0396124753284768,0.0438810723336424,-0.25295439796457,0.112229013643642,-0.0331128784493377,-0.299846989759934,-0.396923518084437,0.0197246267679139,0.14116777828053,-0.0678651745546358,-0.110666344972848,-0.343368559695364,-0.0847504379515828,-0.0453141001613146,-0.436418170142384,-0.3109153865,-0.414803369956954,-0.210998822611921,-0.215309010803311,-0.278055039592384,-0.148960998137748,-0.41522362842649,-0.366676116843377,-0.413990315705298,-0.0944542799745033,0.0631307699607616,0.0851376153427152,0.147766788152583,-0.0705508179966887,0.0397885753784106,0.0224995655687417,-0.0255809943286424,0.0342881539596358,-0.242719802378477,-0.379538870103974,0.188855913615368,-0.362783804438411,-0.410674687581887,0.0913122000757616
"7",6,"WALKING_DOWNSTAIRS",0.288418782689231,-0.0160629433176954,-0.10665759946024,0.229700879486462,0.173121848140708,-0.0383204158670769,0.900546896923077,-0.193044402249231,-0.132409966716369,-0.939209843138462,-0.934608566984615,-0.907539265846154,0.0888632461852308,-0.00548526047803077,-0.0187401478914462,0.0655099354299692,-0.0135809126061538,-0.2992391984872,-0.0740351189449231,-0.0515845904956923,0.0815793077308308,-0.297892501608923,-0.283146922963692,-0.208842211889231,-0.0699406635881538,-0.0541209199652,-0.0560855573612923,-0.433422939436308,-0.428493687757538,-0.304713091212831,0.248657221638062,0.228342418837846,0.248657221638062,0.228342418837846,-0.0168438464556,0.0739811621544923,-0.0612096378736615,-0.221514796783385,-0.397430276855385,-0.446156881218154,0.125979211314677,0.144876387947815,-0.0797240714688308,0.264237742402677,0.111622711857846,-0.0956619402372308,-0.399813013766154,-0.0360880793910769,0.0642817451472923,0.00526424029046154,-0.0584648096855385,-0.235582506057846,0.0311660922154462,-0.0321590098518462,-0.362387076962585,-0.330591237293846,-0.413252987308923,-0.273175141216923,-0.215884156950154,-0.265249613492308,-0.102318093032308,-0.329052558928,-0.302457460923631,-0.321110086846769,-0.23979033516,-0.0539939948641538,-0.0695011872809231,0.265149109212,0.0117128224338462,0.0432416105034769,0.0990381409239385,0.0300725933,0.0231684729303692,-0.271134464755385,-0.328131794828062,0.0307453675683077,-0.432673633564492,-0.505626455061538,0.117009186105846
"8",7,"WALKING_DOWNSTAIRS",0.289559107347403,-0.0177982055869805,-0.106281944075974,0.0855333616555195,0.0378678192446753,-0.226146102961039,0.928880432857143,-0.146498802811688,0.00212876442402597,-0.954135372435065,-0.939290787142857,-0.918035717435065,0.089825157288961,0.0107708274938312,-0.00210150513149351,-0.0720829836720779,-0.118255913961042,-0.392268596837695,-0.0711796940621104,-0.0609185664010032,0.105148215515747,-0.324102451139286,-0.332261217766234,-0.311426059350649,-0.0863425120135065,-0.047668984824513,-0.0557606703824351,-0.32279090872987,-0.453242959394481,-0.399824920292208,0.0821360323805195,0.0817823505872727,0.0821360323805195,0.0817823505872727,-0.134134504124675,-0.0703247599523052,-0.134162569393831,-0.240181290758442,-0.399517325206169,-0.427819238159416,0.0249173155194805,0.0312773333337662,-0.231829378485714,0.103505074001299,-0.0260242877107468,-0.288699422138636,-0.414294786201299,-0.020501361572013,0.106543576156169,-0.103182461955844,-0.151013538175974,-0.332681640630519,-0.12498826624026,-0.144878767314286,-0.451679175833442,-0.336812611090909,-0.376520680561688,-0.24007587110763,-0.174628593890584,-0.307804297711364,-0.223869841467857,-0.374835678462987,-0.358037471644156,-0.406886627558442,-0.139575088442792,-0.0569208673989935,-0.0476901358429708,0.101586950389935,-0.100887546302597,0.0033810682524026,-0.047622128125974,-0.109347350626948,0.0381558825749675,-0.267860300028896,-0.360103227751721,0.0688079831600292,-0.421585643958442,-0.479215521350649,0.103896069305588
"9",8,"SITTING",0.266052424541899,-0.0157010703765363,-0.0983081556089385,-0.976245600167598,-0.902974439005587,-0.918288678905028,0.878224622458101,0.0447341318168196,0.147762755442458,-0.971543592793296,-0.938841242418994,-0.935507515424581,0.0765177444843575,0.00376736585094972,-0.00503857939502793,-0.979169534581006,-0.963903947877095,-0.978633477541899,-0.0443387265022346,-0.0701672433597765,0.0709005538130726,-0.975228469776536,-0.958640909162011,-0.942714701955307,-0.0944038882849162,-0.0424758407061453,-0.047551639430838,-0.97816816273743,-0.984464218100559,-0.977773829832402,-0.93586795027933,-0.912229543910615,-0.93586795027933,-0.912229543910615,-0.976688105251397,-0.970104665251397,-0.928131537486033,-0.937554825865922,-0.984084523240223,-0.980148758994413,-0.976297265586592,-0.924814630893855,-0.944377669217877,-0.976568560111732,-0.899191615620112,-0.911861031179888,-0.0122888550463687,0.0373249523782123,0.0420914531473184,-0.979429437374302,-0.963973757374302,-0.975362981173184,-0.980838682234637,-0.966640207597765,-0.980607224189944,0.188698081626313,-0.0839713399227374,-0.0144187782642458,-0.968993609553073,-0.967802465307263,-0.947814821731844,-0.977297989888268,-0.954593731564246,-0.94659796150838,0.0714372287682123,-0.241718932035196,-0.0728752872016201,-0.931498051061453,-0.916324779553073,0.0646451690810056,-0.970337871564246,-0.968805519273743,0.234473282447318,-0.955623307206704,-0.937372445865922,-0.142282957555866,-0.980979237653631,-0.980187296368715,0.159999956202235
"10",8,"WALKING_DOWNSTAIRS",0.287251249941176,-0.0159134731987255,-0.100168891935294,0.0383393917254902,-0.0592569649715686,-0.212135132668627,0.954700645392157,-0.106598868990196,0.0509307675769608,-0.951891926960784,-0.915767940784314,-0.874376861470588,0.0821389035392157,-0.00567037605490196,-0.0141180595470588,-0.142937951237549,-0.138458177388235,-0.462978713431373,-0.0590007831520098,-0.07523002605,0.0870639768156863,-0.271297181318627,-0.325512164352941,-0.30007807054902,-0.0703132513401961,-0.0552658681602941,-0.0464881117852941,-0.459722401411765,-0.642429889411765,-0.447423149313726,0.0262791126734314,0.0500787273558824,0.0262791126734314,0.0500787273558824,-0.224142157690196,-0.0849780787509804,-0.102897337563725,-0.231738246843137,-0.556046129215686,-0.606672056764706,-0.0135293749870588,-0.0129465858362745,-0.251010109539216,0.0565465070027451,-0.147700816471569,-0.254097930980392,-0.434944854901961,0.0415643018068627,0.050992985555,-0.153679242414706,-0.165030320113725,-0.394600239509804,-0.210840863421569,-0.169835555221569,-0.532422653235294,-0.291543684710784,-0.335507319886275,-0.156668695235294,-0.232186232956863,-0.389380303333333,-0.234529764647059,-0.293838020596765,-0.2948471235,-0.38870950627451,-0.305262495595196,-0.315457769245098,-0.156561597921569,0.0538843852156863,-0.116950233397549,-0.0340493532217647,-0.0714738681242157,-0.111252278588037,-0.0602815390340196,-0.365187655545392,-0.281285225742157,-0.141918395273922,-0.605442424313726,-0.636735059019608,0.0509369854
